Designator,Description,Manufacturer Part Number,Quantity
"C1,C2,C4,C12,C14,C15,C19,C21",100nF Cap,08051C104JAT2A ,8
"C3,C6,C7,C8,C16,C17,C18",1uF Cap,08055C105KAT2A ,7
"C11,C13",10uF Cap,JMK212B7106KG-T ,2
"C4,C5",22pF Cap,MCMT18N220F160CT ,2
C10,4uF Cap,C0805C475K9RACAUTO,1
L2,4.7uH Inductor,744773047,1
"434,868,GPS",Edge Mount SMA,73251-2120,3
PPS,Chip LED,KPHCM-2012SECK,1
L80,GPS Module,L80-M39,1
TFT,TFT Screen,ST7735,1
U1,Joystick (Xbox360 spare),RKJXV1224005 ,1
U2,LoRaWAN Module,RN2483A-I/RM104,1
U3,MCU,ATSAMD21G18A-AU ,1
U5,Boost Converter,MCP1640BT-I/CHY ,1
X3,Crystal,ABS07-32.768KHZ-T,1
X4,MicroUSB connector,ST-USB-001G,1
SW1,Tactile Switch,KMR211G LFS ,1
R1,50ohm Resistor,ERJ6GEYJ510V ,1
R4,976K Resistor,ERJP06F9763V,1
R5,562K Resistor,ERJP06F5623V,1
S1,Slide Switch,EG1213,1
